DADL addDoubleLinear
NSVG surfaceVarGroup
DTC2 tangentConstraint
TBAK textureBakeSet
TTGO textureToGeom
TIME time
tfxn timeFunction
DTMU timeToUnitConversion
TLAT toonLineAttributes
TRAT transferAttributes
XFRM transform
TGEO transformGeometry
NTRM trim
NTWB trimWithBoundaries
SWH3 tripleShadingSwitch
YTUR turbulenceField
FMPT tweak
YUNI uniformField
DUNT unitConversion
DUTM unitToTimeConversion
UNKN unknown
UNKD unknownDag
UNKT unknownTransform
NUTR untrim
USBG useBackground
UVCH uvChooser
RVEC vectorProduct
UNKN vectorRenderGlobals
VBAK vertexBakeSet
VWCM viewColorManager
YVXF volumeAxisField
RVFG volumeFog
VOLL volumeLight
RTV3 volumeNoise
RVSH volumeShader
YVOR vortexField
RTWA water
DWGF weightGeometryFilter
FWIR wire
RTWD wood
FWRP wrap
WTCB writeToColorBuffer
WTDB writeToDepthBuffer
WTLB writeToLabelBuffer
WTVB writeToVectorBuffer
DWAM wtAddMatrix
